ecotypeid,cadmium_conc
6959,0.923577135
5753,1.243263715
1859,1.203269198
7163,1.336863755
242,0.99758707
6911,1.133404312
6946,1.110748848
7244,1.260242421
7270,1.559252985
6190,1.315525956
1967,0.799168357
5889,1.23045307
6112,0.939308382
7186,1.166701964
7508,0.905274419
6019,1.344948178
8376,1.050097235
378,0.999582397
8354,1.259308482
7094,0.746408069
7201,1.517011427
8296,1.22922351
8374,1.343008545
6921,1.432850874
6967,0.969279043
7316,1.102560015
6942,1.170315633
7139,0.784963831
7181,1.54267714
223,0.896828885
8297,0.969016911
6898,0.98048123
6169,1.066964235
2290,0.918920585
5056,1.615433842
7169,0.738571893
6008,1.461682495
366,0.796708582
6989,0.855070102
6962,0.904641197
7340,1.468624123
5232,1.688654484
6914,0.936089841
321,0.655966679
362,0.74433362
6968,1.085063132
2150,1.567631155
91,1.119713385
6994,0.688806542
8335,1.211456249
7078,0.922964106
7479,1.202495857
7258,1.248527737
8244,0.967041
2057,1.004771928
392,0.847157636
5742,1.544945732
7178,0.921243885
6982,1.436024504
7110,1.508062484
7408,0.959812374
7392,0.922112143
116,1.163737776
7330,0.965915598
6042,1.288539042
7355,1.11661807
6074,0.895586777
8378,1.089502704
8265,1.285596849
380,0.73984819
6242,1.184619127
7260,1.312191222
5158,0.953121741
7520,1.228983123
7056,0.794456994
5381,0.736793069
7071,1.139995806
7516,1.270724943
5606,0.705915167
7394,1.836963075
357,0.765409268
8236,1.605332214
8325,0.800257702
7275,1.074261372
7378,0.737135364
957,1.108468142
7147,1.085663385
1925,1.219323808
7306,0.995571971
166,1.037466445
7502,1.034565629
6940,1.204880495
7002,1.189877872
7224,1.198518525
6909,1.134119258
7343,1.22337531
7188,1.565076972
7310,1.295650338
6449,1.353199741
6970,1.182752755
6977,1.238106894
7405,1.339983034
8610,1.420662685
7344,0.702131761
5160,0.88357402
7518,0.779576566
8387,1.300302964
8283,1.171383939
6939,0.958174382
6983,1.389476981
1716,1.585630568
8246,1.147925207
6906,1.286777276
94,0.810335245
6039,1.071394118
6109,1.353015389
5380,0.670554768
7373,1.237860856
7333,1.357021439
6729,0.84061635
6936,0.946633953
7507,1.02357501
6119,0.81079935
6810,1.205686472
328,1.64046579
6903,1.282876151
7205,1.092629233
6098,1.14748581
8240,1.058408304
5565,1.332182859
5896,1.532004638
7331,1.669230582
7472,1.10315338
7126,1.264938382
5987,1.202381798
6076,0.752376033
6996,1.337038255
7521,0.774311214
6046,1.176690624
6094,0.69667864
7135,1.507731042
6974,0.889830341
333,0.857393224
7151,1.416418687
8353,1.338081669
6992,1.012234679
7263,0.975552269
7031,1.307797175
7158,0.887523355
173,1.971591822
7384,1.173749971
5785,0.847536874
7372,1.440200394
8264,1.262903022
8242,1.26377363
6980,1.603680229
5245,0.96582368
7346,1.425165204
8239,1.277110438
8234,1.265812582
7391,0.86518987
6096,0.806255572
282,0.923109385
5264,0.806489232
5122,1.210392545
7004,0.965822874
8214,1.147400963
8271,1.295298749
78,0.724679665
6709,0.930365086
6904,1.131654872
8430,1.325396059
8304,1.22743395
178,1.144349835
8231,0.784999822
6744,0.626530601
6905,0.944396815
7165,1.092342528
7141,1.34190054
7291,1.528207
1867,0.985014253
6910,1.341022519
7411,0.900104901
7397,0.853117453
8241,1.247707202
281,1.314753606
5207,1.01929628
383,1.157290983
7483,0.967208193
6961,1.008567418
7282,1.305868871
7145,0.933365119
7514,1.415853041
7482,1.294249701
7506,1.637502613
